Entity1,Entity2,Pair_ID,Answer,Answer_binary,Label,Match,Costs,Hard_Negative
"Marke: DEKOWE Name: Sisalteppich »Mara S2 mit Bordüre Spezial«, rechteckig, 100% Sisal, auch als Läufer, Wohnzimmer, 53373525-0 beige 5 mm Preis: 107.99 Beschreibung: Mit diesem hochwertigen und strapazierfähigen Sisalteppich holen Sie sich ein Stück Natur ins Haus. Der Teppich aus 100% Sisal besticht durch Natürlichkeit und einem zeitlosen Design. Dank der vielen Farben und Größen können Sie diesen Teppich ideal mit Ihrer Einrichtung kombinieren. Es passt zu jedem Einrichtungsstil, egal ob Küche, Flur oder Wohnzimmer, dieser Teppich erfüllt Ihr Zuhause mit behaglicher Eleganz und Gemütlichkeit. Durch seine feuchtigkeitsregulierende Eigenschaft hilft dieser Teppich, das Raumklima zu verbessern. Die leicht melierten und glänzenden Farben zeigen die Echtheit und Reinheit dieses Naturproduktes. Der Sisal-Teppich ist rundum mit einer pflegeleichten Polyester-Bordüre eingefasst und wird mit einer rutschsicheren Unterseite geliefert. Wir empfehlen Ihnen einen Teppich-Stop unterzulegen, um dauerhaft auch hochwertige Unterböden zu schützen.","Marke: DEKOWE Name: Sisalteppich »Mara S2 mit Bordüre«, rechteckig, Flachgewebe, Material: 100% Sisal, Wohnzimmer, 87991554-0 grau 5 mm Preis: 103.99 Beschreibung: Mit diesem hochwertigen und strapazierfähigen Sisalteppich holen Sie sich ein Stück Natur ins Haus. Der Teppich aus 100% Sisal besticht durch Natürlichkeit und einem zeitlosen Design. Dank der vielen Farben und Größen können Sie diesen Teppich ideal mit Ihrer Einrichtung kombinieren. Er passt zu jedem Einrichtungsstil, egal ob Küche, Flur oder Wohnzimmer, dieser Teppich erfüllt Ihr Zuhause mit behaglicher Eleganz und Gemütlichkeit. Durch seine feuchtigkeitsregulierende Eigenschaft hilft dieser Teppich, das Raumklima zu verbessern. Die leicht melierten und glänzenden Farben zeigen die Echtheit und Reinheit dieses Naturproduktes.Der Sisal-Teppich ist rundum mit einer pflegeleichten Polyester-Bordüre eingefasst und wird mit einer rutschsicheren Unterseite geliefert. Wir empfehlen Ihnen einen Teppich-Stop unterzulegen, um dauerhaft auch hochwertige Unterböden zu schützen.",29607392514#5163452200,Nein,0,0,1,0.000504875,1
Marke: zwei Name: ZWEI Damenrucksack OLLI O13 15l graphit Preis: 79.9 Beschreibung: ZWEI Damenrucksack OLLI O13 15l graphit,"Marke: zwei Name: ZWEI Rucksack Olli Rucksäcke Silber Damen Preis: 79.99 Beschreibung: EigenschaftenFarbe: BEIGE CremeMaterial: Polyester, PolyurethanAbmessungen: 28 x 33 x 12 cmAusstattung: Schultergurt -riemen verstellbar, Tabletfach",2061441544#4514271066,Nein,0,0,1,0.000163625,1
"Marke: kneer Name: Kneer Spannbetttuch EASY-STRETCH Q25 kneer blau Preis: 29.95 Beschreibung: Auf der Suche nach dem Passenden... Mit dem Kneer EASY-STRETCH Spannbetttuch haben Sie genau das Richtige gefunden. Mit seiner raffinierten Materialkombination aus 95% Baumwolle und 5% Elasthan ist das Kneer EASY-STRETCH Spannbetttuch extrem längs-und querdehnfähig. Dadurch eignet es sich auch hervorragend für extra hohe Matratzen und Wasserbetten. Es hat einen sehr hohen Liegekomfort und ist besonders sanft auf der Haut. Durch seine hochwertige Konfektion mit abgenähten Ecken, Rundumgummi und zusätzlichem Tunnelsaum garantieren wir einen perfekten Sitz auf der Matratze. Aus dem großen Farbspektrum finden Sie genau das Passende für Ihre Bettwäsche. Das Kneer EASY-STRETCH Spannbetttuch ist besonders pflegeleicht und waschbar bis 60°C(weiß bunt). Unser Tipp Damit die Farben strahlend bleiben, empfehlen wir: Vor erstem Gebrauch separat waschen und Waschmittel ohne optischen Aufheller. Selbstverständlich ist das Kneer Easy-Stretch Spannbetttuch ist mit dem ÖKO-TEX Siegel ausgezeichnet. Ausführung: Easy Stretch, Qualität 25 Eigenschaften: außergewöhnlich weich und dehnfähig, extrem längs-und querdehnfähig Gewicht: ca. 180 g qm Höhe (ca. cm): bis ca. 30 cm Matratzenhöhe Lieferumfang: 1 Spannbetttuch Lieferzustand: gebrauchsfertig Waschen: waschbar bis 60°C, trocknergeeignet Zusatzinformationen: Sämtliche Kneer Produkte entsprechen dem Öko-Tex Standard 100. sonstiges: Die Rückgabe von Spannbetttüchern ist aus Hygienegründen nur in der ungeöffneten Originalverpackung möglich.","Marke: Kneer Name: Kneer, Matratzenbezug Easy-Stretch 180 200x200 220 grün Preis: 41.1428571429 Beschreibung: außergewöhnlich weiches und extrem dehnfähiges Spannbettlaken für extra hohe Matratzen, Boxspring- und Wasserbetten bis 30cm geeignet Material: 95% Baumwolle, 5% Elasthan; 180g m2 Pflege: waschbar bis 60°C, trocknergeeignet zertifiziert nach Oeko-Tex Standard 100, Produktklasse II (Prüf-Nr. 95.0.4039, Fl Hohenstein)",1401982309#4945702240,Nein,0,0,1,0.000531125,1
"Marke: L'ORÉAL PARIS Name: Make-up Perfect Match R1 C1 Preis: 8.75 Beschreibung: Da jeder Hautton einzigartig ist, überzeugt L'ORÉAL PARIS Perfect Match Foundation 1.R 1.C als Hautton-anpassendes Make-up. Es verschmilzt perfekt mit der Farbe und Struktur der Haut. Die Foundation hinterlässt ein angenehmes, leichtes Hautgefühl und schenkt 24h Feuchtigkeit.",Marke: L'ORÉAL PARIS Name: Make-Up Perfect Match D3 W3 Preis: 8.75 Beschreibung: Das Hautton-anpassende Make-up Perfect Match D3 W3 von L'ORÉAL PARiS verschmilzt perfekt mit der Farbe und Struktur der Haut. Erhältlich in 9 Nuancen mit LSF 17 – in hellen bis dunklen und warmen bis kühlen Tönen.,2060192911#2060192915,Nein,0,0,1,0.000226625,1
"Marke: Vaude Name: Vaude Herren Jacke Cyclist Softshell, black, M, 41662 Fahrradjacke Preis: 156.31 Beschreibung: Vaude Herren Jacke Cyclist Softshell, black, M, 41662 Fahrradjacke","Marke: VAUDE Name: VAUDE Cyclist Winter Softshell Jacke Herren black S 2020 Bike Jacken Preis: 164.99 Beschreibung: Typ: Softshelljacke; Saison: Herbst Winter; Funktion: winddicht, wasserabweisend; Einsatzzweck: Alltag Tour   Reise; Nähte: Flatlock- Flachnähte; Besonderheiten: PFC-frei; Sicherheitsmerkmale: Reflektierende Elemente; Details Reißverschluss: durchgehender, winddichter Reißverschluss; Taschen: 2 abgedeckte Fronttaschen mit Reißverschluss; Gewicht: 800 g; Material: Hauptgewebe: Polyester 100% - Membran: Polyurethan 100% - Innengewebe: Polyester 100%; Oberflächenbeschichtung: ja; Größeninformation: Größe fällt normal aus; Passform: normal geschnitten; Details: vorgeformter Ärmel, verlängertes Rückenteil, teilelastisches Ärmelbündchen, angeschnittene, weitenregulierbare Kapuze, dekorative Prägung, 100 % winddicht, atmungsaktiv und wasserabweisend, bequemer Schnitt für Alltagsradler, umweltfreundlich hergestellt",2016866277#2056078364,Ja,1,0,0,0.000335125,1
"Marke: Garmin Name: Garmin 010-02563-06 Instinct 2S GPS Smartwatch Rot Preis: 349.9 Beschreibung: Multisportuhr mit vielfältigen Health- und Fitness-Tracking-Funktionen, hergestellt nach Militärstandard, energiesparendes, MIP-Display, Displaygröße 21 mm, 156 x 156 Pixel, 24 7-Herzfrequenzmessung, Pulse Ox, VO2max Messung, Body BatteryTM, Fitnesstracker, Tagesziel, Kalorien und Schlafverhalten, Sleep Score, Health SnapshotTM, 30 Sport-Apps, GPS GLONASS GALILEO zur schnellen Positionserfassung, barometrischer Höhenmesser, 3-Achsen-Kompass, Strecken- und TracBackTM-Navigation, Smart Notifications, Notfallhilfe und automatische Unfallbenachrichtigung, Bluetooth Smart und ANT+, Garmin Connect App, Anzeige der Uhrzeit, Kalender, Wetterbericht, Weckfunktion, Stoppuhr und Timerfunktion, robustes Gehäuse aus faserverstärktem Polymer, chemisch verstärktes Glas, wasserdicht bis 10 bar, Größe 40 x 40 x 13,3 mm, Betriebsdauer: bis zu 22 Stunden, Armband aus Silikon mit Dornschließe, Lade- Datenkabel","Marke: Wesco Name: Wesco Brotkasten - Single Elly - Rot Preis: 42.95 Beschreibung: Ein echtes Retro-Schmuckstück für eine kleinere Küche ist der Brotkasten Single Elly. Ideal zur Aufbewahrung von Brot, Gebäck, Kuchen oder anderen Leckerbissen. Lüftungslöcher sorgen für optimale Luftzirkulation, so bleibt alles länger frisch. Solide Metallscharniere und der Metallgriff machen die Single Elly nahezu unverwüstlich. Im klassischen Weiß sieht die pfiffige Box einfach gut aus und lässt sich gut mit bereits vorhandenen Accessoires kombinieren. Produktdetails: Ca. Maße: Breite: 32cm Tiefe: 19,4cm Höhe: 14cm  Material: hochwertiges Stahlblech, pulverbeschichtet Griff und Scharniere aus Metall nicht spülmaschienengeeignet Lieferumfang: 1 x Wesco Brotkasten Single Elly - Rot  Eventuell vorhandene Dekorationsartikel sind nicht im Lieferumfang enthalten.",4450888165#1423044582,Nein,0,0,1,0.00049525,1
Marke: Coccinelle Name: Coccinelle Liya Suede Handbag Ardesia Preis: 321.9 Beschreibung: Diese feine COCCINELLE Handtasche schenkt Ihnen Eleganz und Stil. Die beiden geräumigen Hauptfächer schenken Ihnen viel Platz und Stauraum für all Ihre Habseligkeiten. Diese können Sie in den extra Fächern sortiert und organisiert unterbringen. Maße: 30 x 25 x 9 cm,"Marke: Coccinelle Name: COCCINELLE Schultertasche Firenze Suede 1803 Preis: 419.9 Beschreibung: Größentext Größe , 34 x 14.5 x 25, Material Material , weiches Veloursleder und Details aus genarbtem Leder; innen: Polyester, Innenmaterial , Polyester, Farbe Farbe , Ardesia, Details Taschenverschluss , Überschlag und Steckverschluss, Innenausstattung , Handyfach, Maßangaben Breite , 34 cm, Höhe , 25 cm, Tiefe , 14.5 cm, Volumen , 12 l,",109765155485#111110399548,Nein,0,0,1,0.000261625,1
"Marke: ASICS Name: Asics GEL-Pulse 13 Damen - Damen Preis: 100.0 Beschreibung: Steigern Sie Ihr Spiel in diesen GEL-Pulse 13-Turnschuhen für Damen von ASICS. Diese Laufschuhe in klassischer schwarzer Farbe haben ein Obermaterial aus technischem Jacquard-Mesh für ein atmungsaktives Tragegefühl. Sie verfügen über einen tonalen Schnürverschluss, um Sie einzuschließen, sowie einen gepolsterten Knöchelkragen. Unter den Füßen haben diese Sneaker eine leichte Mittelsohle, die mit neu strukturierter AMPLIFOAM-Dämpfung und der legendären GEL-Technologie von ASICS für ein weiches und dennoch reaktionsfreudiges Laufgefühl ausgestattet ist, egal ob Sie laufen oder trainieren. Sie haben eine griffige Gummilauffläche und sind mit dem charakteristischen ASICS-Branding versehen.","Marke: Nature Box Name: Nature Box Nährpflege Shampoo 385 ml Damen Preis: 4.99 Beschreibung: Extra-Nährstoffe für die HaareDas Nährpflege Shampoo von Nature Box schenkt den Haaren ein intensives Pflege-Plus. Die vegane Formulierung mit kaltgepresstem Argan-Öl ist nach dem COSMOS NATURAL-Standard als Naturkosmetik zertifiziert und verleiht ein herrlich gepflegtes Haargefühl. Das Beste: Bei der Verpackung steht Nachhaltigkeit im Vordergrund – sie besteht zu 98 % aus Social Plastic, das gesammelt, recycelt und dann neu verarbeitet wurde.",4624086112#3395466908,Nein,0,0,1,0.00034475,1
Marke: Pierre Cardin Name: Pierre Cardin Damenuhr CPI.2024 Preis: 88.06 Beschreibung: Pierre Cardin Damenuhr CPI.2024,"Marke: OTTO products Name: Komfortschaummatratze Ellita, OTTO products, 23 cm hoch, Raumgewicht: 30, Mit Plastik aus den Weltmeeren für saubere Ozeane 100 cm x 200 cm x 23 cm Preis: 219.99 Beschreibung: Top-Feature Top-Features , Extrahoch für komfortables Ein- und Aussteigen - Je höher die Matratze, desto einfacher und bequemer ist das Ein- und Aussteigen. So können auch niedrige Bettrahmen durch einen einfachen Matratzentausch mit mehr Komfort ausgestattet werden., Details Schlafposition , Seitenschläfer Rückenschläfer, Anzahl Liegezonen , 7, Härtegrad , 3, Körpergewicht von , 81 kg, Körpergewicht bis , 100 kg, Anzahl Matratzenkerne , 1, Altersgruppe , Kinder und Heranwachsende Erwachsene Senioren, Farbe , weiß, Ausstattung & Funktionen Anzahl Griffschlaufen , 4 St., Allergikerinformation , Hausstauballergiker geeignet, Eigenschaften Matratze , für verstellbare Lattenroste geeignet als Wendematratze nutzbar, Eigenschaften Matratzenbezug , mit Reißverschluss abnehmbar teilbar, Maße & Gewicht Breite , 100 cm, Länge , 200 cm, Höhe , 23 cm, Gewicht , 19 kg, Bezug Art Bezug , Doppeljersey, Materialzusammensetzung , Bezug: 100% Polyester. Steppfüllung: 100% Polyester, Pflegehinweise , 60°C Schonwäsche trocknergeeignet, Kernaufbau Kernaufbau , OS: 7-Zonen-Ortho-Fit-Hybridschaumauflage (39 kg m3, Höhe ca. 5 cm)   US: 7-Zonen-Komfortschaumkern (30 kg m3, Höhe ca. 16 cm), Wissenswertes Garantie (Kern) , 5 Jahr(e), Lieferumfang Anzahl Teile , 1 St., Lieferung , gerollt, Bestellhinweise Schaumfarbehinweis , Die Farben der Matratzenkerne können von der Abbildung abweichen, weil diese in unterschiedlichen Farben produziert werden können., Lattenrosthinweis , Wir raten Ihnen, bei einem Matratzenwechsel auch ein neues Lattenrost zu verwenden Bitte beachten Sie, dass Sie für das Bettenmaß 160 200 cm = 2x 80 200-cm-Lattenroste, für das Maß 180 200 cm = 2x 90 200-cm-Lattenroste und für das Maß 200 200 cm = 2x 100 200-cm-Lattenroste benötigen Bei den Größen 80 190 cm und 90 190 cm handelt es sich um Sondergrößen, bitte überprüfen Sie noch einmal die Maße Ihres Bettes Empfehlenswert ist ein Lattenrost mit mindestens 28 Leisten (bei 200 cm Länge) Bevor Sie Ihre Bestellung aufgeben, sollten Sie unbedingt die Innenmaße des Bettgestells ausmessen, Produktdetails Markeninformationen , OTTO products ist eine modern-minimalistische Marke, deren Produkte den Anspruch in sich tragen, zeitlos und langlebig sowie natürlich und nachhaltig zu sein. Für OTTO products ist nicht die schnelle Umsetzung eines Trends bedeutend. Viel mehr zählen die Werte Beständigkeit, Fairness und Verantwortung - in den Produkten und deren Produktion.,",3929215225#1659519065,Nein,0,0,1,0.000714875,1
"Marke: Blanco Name: BLANCO ALTA Compact Küchenarmatur   Kompakter Einhebelmischer SILGRANIT-Look in Silgranitweiß-Chrom   Hochdruck Preis: 173.37 Beschreibung: Schlanke Armatur in ästhetischem Design   Wasserhahn dank kompakter Form besonders für kleinere Spülen geeignet Praktischer Bedienhebel für präzises Steuern der Wassermenge und -temperatur   Erweiterter Aktionsradius durch 360° schwenkbaren Auslauf   Auslauf im vorderen Bereich drehbar Langlebige Küchenarmatur aus ausgewählten Materialien, zertifizierte Qualität   Patentierter Strahlregler für geringe Verkalkung Dank flexibler Anschlussschläuche von 450mm Länge auch unter schwierigen Einbaubedingungen leicht zu montieren   Hochdruckarmatur Lieferumfang: 1 x Armatur zweifarbig für Spüle, drehbarer Auslauf, Weiß, Chrom, (max. Höhe des Hahns: 218 mm, max. Dicke der Arbeitsplatte: 45 mm), inkl. Flexschläuche","Marke: SANTA TINA Name: E-Kompaktroller Como2 45 km h, Farbe:Dunkelrot, Ausführung:12Ah Akku Preis: 1699.0 Beschreibung: Como2 45 km h Lithium-Ionen-Akku in 2 Versionen TOP-FEATURES:Bereits über 5.000 zufriedene E-Roller-KundenTrendstarker E-Roller mit 1500 Watt Heck-Radnabenmotor – für bis zu 2 PersonenWartungsfreier Fahrkomfort – bis zu 45 km h und bis zu 60 km Reichweite* (unser Eco-Standard)Inklusive zwei abschließbaren StauraumfächernMit EU-Betriebserlaubnis (COC) und zugelassen nach StVZORobuster Rahmen – Vollfederung – zweifach gebremst – luftbereiftLeistungsstarker 60 Volt Lithium-Ionen-AkkuVollverkleidet – in trendigen FarbenZulässiges Gesamtgewicht bis zu 212 kgInklusive 2 Jahre er Pick-Up-ServiceDer E-Kompaktroller 'Como2' 45 km h – Fahrkomfort mit Easy Rider-Feeling!Cruisen Sie in Lowrider-Manier durch die Straßen. Der E-Roller 'Como2' setzt neue Maßstäbe in Design und Fahrverhalten: durch seine extrabreiten Reifen liegen Sie perfekt auf der Straße und sind mit bis zu 2 Personen bequem unterwegs.*Wichtige Hinweise zur ReichweiteDie km-Reichweite des Fahrzeugs wird durch mehrere Faktoren beeinflusst: defensive oder offensive Fahrweise des Fahrers (ständig Vollgas oder nicht), Zuladung: Gewicht des Fahrers sowie Gepäck, Topographie der Strecke: flaches Gelände oder bergige Strecken, Eigenschaften der Fahrbahn: Schotterwege, Pflasterstraßen, Asphaltierung, etc., niedriger Reifendruck, Umweltbedingungen wie Gegenwind, nasse Fahrbahn etc., Klima bzw. Temperatur und Luftfeuchtigkeit. Unter Optimalbedingungen (gerade, asphaltierte Strecke, kein Gegenwind, trockenes Wetter, Zuladung von ca. 70 kg und defensiver Fahrweise) erzielt das Fahrzeug die genannte Reichweite. Die Reichweite kann sich bei negativen Parametern stark verkürzen. E-Roller mit TOP-Ausstattung:Motor Antrieb: Heck-Radnabenmotor (bürstenlos und wartungsfrei)Motorsteuerung: Im Chassis verarbeitetMotorleistung: 1500 WattAkku: Lithium-Ionen-Akku (wartungsfrei)Spannung: 60 Volt   12 bzw. 20AhAkku-Leistung: 720 bzw. 1200 WhKomplett-Ladezyklen: bis zu ca. 1000 (unter Beachtung der Pflegehinweise)Verbau-Art: Akku unter dem Sitz integriert – herausnehmbar, auch zur externen LadungAkkuladezeit: ca. 6 bis 8 Stundenmax. Reichweite* (unser Eco-Standard) bis zu: 60 kmHöchstgeschwindigkeit: bis zu 45 km h (in Abhängigkeit von Witterung, Bodenbeschaffenheit, Umgebung und Gewicht)max. Steigfähigkeit: ca. 15%Rahmen Verkleidung: Robuster Rahmen, Verkleidung aus hochwertigem KunststoffSchaltung: Automatik – stufenlos über Gasdrehgriff regulierbarBremsen: Hydraulische Scheibenbremsen vorne und hintenBereifung: 8 Zoll Luftreifen mit Ventil 225 55-8, Ø 45 cmLenkung: Lenkergriff im Chopper-StyleBedieneinheit: Schlüsselschalter und stufenlose Drehgriffbedienung, Multifunktions-LCD-Display mit Tachometer, Ladestandsanzeige und Fahrtlicht-KontrollleuchteBeleuchtung vorne: LED-Scheinwerfer mit Tagfahrlicht und BlinkernBeleuchtung hinten: LED-Rückleuchte mit Bremslicht-Funktion und BlinkernSitz Sitzbank: Komfort-Sitzbank aus hochwertigem Kunstleder, 2-geteilt inkl. Stauraumfach unter dem SitzFederung: Komfort-DoppelfederungSpritzschutz: vorne und hintenStänder: Seitenständer mit SicherheitsabschaltungTrittbrett: witterungsbeständig, rutschfest und extragroßSpiegel: Rückspiegel links und rechtsMaße: ca. L 185 x B 88 x H 134 cm (inkl. Spiegel)Gewicht Akku ca.: 4,4 bzw. 6,6 kgGewicht inkl. Akku ca.: 59,4 bzw. 61,6 kgZulässiges Gesamtgewicht ca.: 212 kgFarbe: dunkelblau, dunkelrot, schwarz oder weißIm Lieferumfang enthalten: Fahrzeug, Akku, Ladegerät, Anbauteile wie Spiegel, Bedienungsanleitung, EU-Betriebserlaubnis (COC)Rechtliche Informationen und Hinweise:Führerschein: Mindestalter 16 Jahre (§ 10 FeV): Führerschein Klasse AM wird benötigt, diese ist Bestandteil der Führerscheinklassen A, B und T.Versicherung Kennzeichen: Es besteht Versicherungs- und Kennzeichenpflicht (Mofa-Kennzeichen). Eine EU-Betriebserlaubnis (COC) liegt dem Fahrzeug bei.Helmpflicht: Es besteht Helmpflicht.Zulassung: StVZO-zugelassen, mit EU-Betriebserlaubnis (COC). Nutzung auf Straßen ohne Mindestgeschwindigkeit und für Mofas freig",2115678997#4435566465,Nein,0,0,1,0.001288875,1
